Berlin      28443
Hamburg     28498
Koeln       28456
Frankfurt   28480
Bonn        28447
Dortmund    28466
Duesseldorf 28470
Muenster    28550
Leipzig     28528
Dresden     28467
Bremen      28450
Strasbourg  28928
Amsterdam   31366
Brussels    26854
Vienna      26771
Rome        30366
Milan       30338
London      24426
Dublin      29314
